transaction_id,merchant_id,customer_id,amount,transaction_date,status,payment_method
txn_3001,m_007,c_098,104.04,2024-01-15 23:52:48,completed,card
txn_3002,m_002,c_065,365.87,2024-01-15 23:58:05,completed,wallet
txn_3003,m_010,c_126,103.74,2024-01-15 23:53:50,pending,wallet
txn_3004,m_015,c_096,412.05,2024-01-15 00:02:29,failed,card
txn_3005,m_011,c_046,425.73,2024-01-15 00:08:43,completed,wallet
txn_3006,m_013,c_023,237.17,2024-01-15 17:00:27,completed,bank_transfer
txn_3007,m_004,c_093,494.84,2024-01-15 16:57:12,completed,bank_transfer
txn_3008,m_010,c_119,488.47,2024-01-15 22:10:47,completed,card
txn_3009,m_013,c_114,299.73,2024-01-15 21:11:02,refunded,wallet
txn_3010,m_002,c_006,89.74,2024-01-15 02:59:27,completed,bank_transfer
txn_3011,m_011,c_023,75.74,2024-01-15 10:08:33,completed,bank_transfer
txn_3012,m_007,c_052,450.49,2024-01-15 06:28:16,refunded,wallet
txn_3013,m_009,c_104,413.44,2024-01-15 15:59:03,completed,wallet
txn_3014,m_003,c_190,432.65,2024-01-15 04:38:26,completed,wallet
txn_3015,m_002,c_025,63.76,2024-01-15 13:09:59,completed,card
txn_3016,m_004,c_144,162.96,2024-01-15 08:07:54,completed,card
txn_3017,m_014,c_093,97.05,2024-01-15 00:37:53,completed,bank_transfer
txn_3018,m_001,c_087,112.08,2024-01-15 12:26:52,completed,bank_transfer
txn_3019,m_006,c_137,50.87,2024-01-15 23:54:25,failed,bank_transfer
txn_3020,m_013,c_114,118.95,2024-01-15 20:46:19,failed,card
txn_3021,m_002,c_177,361.76,2024-01-15 21:45:15,completed,wallet
txn_3022,m_007,c_076,221.87,2024-01-15 13:58:16,refunded,bank_transfer
txn_3023,m_002,c_129,150.05,2024-01-15 15:34:08,completed,bank_transfer
txn_3024,m_015,c_066,218.31,2024-01-15 19:10:18,completed,wallet
txn_3025,m_007,c_174,340.78,2024-01-15 21:45:28,failed,wallet
txn_3026,m_004,c_098,171.74,2024-01-15 21:22:44,completed,card
txn_3027,m_005,c_050,446.21,2024-01-15 08:42:26,completed,wallet
txn_3028,m_012,c_193,433.81,2024-01-15 21:25:00,completed,bank_transfer
txn_3029,m_002,c_129,268.22,2024-01-15 21:47:10,completed,bank_transfer
txn_3030,m_009,c_114,466.88,2024-01-15 13:29:35,completed,wallet
txn_3031,m_009,c_161,311.80,2024-01-15 09:12:47,completed,wallet
txn_3032,m_001,c_027,404.16,2024-01-15 01:26:19,completed,card
txn_3033,m_006,c_143,315.07,2024-01-15 09:12:48,pending,wallet
txn_3034,m_002,c_102,202.23,2024-01-15 10:08:56,completed,bank_transfer
txn_3035,m_003,c_115,434.62,2024-01-15 13:35:45,completed,bank_transfer
